,"link","webpage_url","title","y","query","view_count","like_count","dislike_count","average_rating","subscriber_count","description","categories","tags","upload_date","tempo_desde_pub","channel_url","thumbnail","width","height","resolution","fps","p"
234,"watch?v=Ewgy-G9cmbg","https://www.youtube.com/watch?v=Ewgy-G9cmbg","Solving real world data science tasks with Python Beautiful Soup! (movie dataset creation)",1,"data+science",37,1792,8,4.9822221,84100,"Data","['Education']","['KGMIT', 'Keith Galli', 'MIT', 'Beautifulsoup', 'beautiful soup', 'data science', 'data visualization', 'data analysis', 'real world data science', 'data science project', 'regular expressions', 'python', 'python 3', 'python programming', 'pandas library', 'pytest', 'web scraping', 'selenium', 'bs4', 'bs', 'datetime', 're', 'dataset', 'dataset creation', 'data cleaning', 'data exploration', 'data scientist', 'machine learning', 'ai', 'eda', 'exploratory data analysis', 'data engineering', 'engineering', 'python project', 'programming', 'programming project']","2020-10-01",47,"http://www.youtube.com/channel/UCq6XkhO5SZ66N04IcPbqNcw","https://i.ytimg.com/vi/Ewgy-G9cmbg/maxresdefault.jpg",1920,1080,,30,0.534
239,"watch?v=Ft4GVkQQtgk","https://www.youtube.com/watch?v=Ft4GVkQQtgk","Data Science Resume Round-Up With @Tina Huang  - Episode 1",0,"data+science",3,160,2,4.9751554,102000,"In this video @Tina Huang and I go through 5 subscriber submitted resumes and review them. We give some of our best tips to ...","['People & Blogs']","['Data Science', 'Ken Jee', 'Machine Learning', 'data scientist', 'data science journey', 'data science 2020', 'Tina huang', 'Data Science Resume', 'Data Science Resume Round Up', 'Data Science resume review', 'resume', 'resume review', 'resume critique', 'data science resume critique', 'data science careers', 'data science jobs', 'data science interview', 'jobs', 'careers', 'interviews', 'technical careers', 'women in tech', 'resume tips 2020', 'data science interview tips', 'data science projects', 'resume for data scientists']","2020-09-28",50,"http://www.youtube.com/channel/UCiT9RITQ9PW6BhXK0y2jaeg","https://i.ytimg.com/vi_webp/Ft4GVkQQtgk/maxresdefault.webp",3840,2160,,30,0.519
244,"watch?v=6pijD8osnDE","https://www.youtube.com/watch?v=6pijD8osnDE","HOW TO BECOME DATA SCIENTIST IN 2021| Skills/Salary/Degree-all Explained in Hindi| Student Help UK",0,"data+science",8,695,18,4.8990183,39200,"Hello Guys, In this Video I am talking about ","['Education']","['Study in England', 'UK student visa', 'Study visa process', 'New visa rules uk', 'Why study in England', 'PSW', 'ILR', 'Skype interview', 'Study in UK', 'Data scientist', 'data analytics courses', 'How to learn data analytics', 'Data scientist courses', 'How to become data scientist', 'My data scientist journey', 'Data scientist in India', 'Learn data science', 'How to learn coding in India', 'online data science courses', 'Learn data analytics', 'Learn python', 'Python', 'R learning', 'Data', 'Analytics', 'Data scientist jobs']","2020-09-23",55,"http://www.youtube.com/channel/UCd7pspeUunHAKCYGLFnuZAw","https://i.ytimg.com/vi_webp/6pijD8osnDE/maxresdefault.webp",1280,720,,25,0.534
251,"watch?v=EAClbWBXlJI","https://www.youtube.com/watch?v=EAClbWBXlJI","DATA SCIENTIST Interview Questions And Answers! (How to PASS a Data Science job interview!)",0,"data+science",1,72,5,4.7402596,486000,"DATA SCIENTIST","['Education']","['DATA SCIENTIST Interview Questions And Answers', 'data science interview questions', 'How do I prepare for a data scientist interview', 'What questions should a data scientist ask', 'Why do you want to be a data scientist interview', 'What skills are needed for a data scientist', '100 questions to crack data science interview', 'pdf', 'python data science interview questions', 'technical interview questions and answers', 'it interview questions', 'what is data science', 'why should we hire you']","2020-09-20",58,"http://www.youtube.com/channel/UCrtPXCqjm9c7nqgJL-vBSZg","https://i.ytimg.com/vi/EAClbWBXlJI/maxresdefault.jpg",2880,1800,,60,0.458
253,"watch?v=lCi6fWuI8r4","https://www.youtube.com/watch?v=lCi6fWuI8r4","A day in the life of a data scientist (FAANG data scientist remote during COVID 19)",0,"data+science",8,188,19,4.6328502,2910,"This is a day in the life of a ","['Science & Technology']","['day in the life of a data scientist', 'data science day in the life', 'day in the life', 'a day in the life of a data scientist', 'data scientist', 'data science', 'faang data scientist', 'facebook data scientist', 'day in the life of a faang data scientist', 'amazon data scientist', 'netflix data scientist', 'apple data scientist', 'google data scientist', 'data science journey', 'tina huang', 'data science jobs', 'upenn', 'upenn mcit', 'mcit', 'tina huang data science', 'remote data scientist', 'a day in the life']","2020-09-19",59,"http://www.youtube.com/channel/UC2UXDak6o7rBm23k3Vv5dww","https://i.ytimg.com/vi/lCi6fWuI8r4/maxresdefault.jpg",3840,2160,,30,0.495
267,"watch?v=U9vAMiHo7z0","https://www.youtube.com/watch?v=U9vAMiHo7z0","How To Become A Data Scientist In 2020 | Data Scientist Career Path | Data Scientist | Simplilearn",0,"data+science",8,235,4,4.9330544,733000,"Data Scientist","['Education']","['how to become a data scientist in 2020', 'how to become a data scientist', 'how to become a data scientist in india', 'how to become a data scientist in usa', 'how to become a data scientist step by step', 'step by step guide to become a data scientist', 'data science', 'data scientist', 'data scientist training', 'data scientist course', 'data scientist salary', 'data scientist roadmap', 'data scientist roles and responsibilities', 'simplilearn data science', 'simplilearn']","2020-09-13",65,"http://www.youtube.com/channel/UCsvqVGtbbyHaMoevxPAq9Fg","https://i.ytimg.com/vi/U9vAMiHo7z0/maxresdefault.jpg",1920,1080,,25,0.483
269,"watch?v=us1XyayQ6fU","https://www.youtube.com/watch?v=us1XyayQ6fU","Tutorial 1- MySQL With Python And Data Science- MySQL Installation Steps",0,"data+science",8,396,5,4.9501247,265000,"Download MySql: https://dev.mysql.com/downloads/installer/ Please donate if you want to support the channel through GPay ...","['Education']","['mysql connector/python', 'mysql-python install', 'python-mysqldb', 'mysql.connector.connect python', 'mysql python 3', 'mysql connector/python documentation', 'python connect to mysql', 'python mysql query']","2020-09-09",69,"http://www.youtube.com/channel/UCNU_lfiiWBdtULKOw6X0Dig","https://i.ytimg.com/vi_webp/us1XyayQ6fU/maxresdefault.webp",1920,1080,,30,0.546
279,"watch?v=kHL2C677rgs","https://www.youtube.com/watch?v=kHL2C677rgs","Data Science Interview Preparation | Tips & Questions | Get entry level Data Science job",0,"data+science",3,99,6,4.7714286,4190,"This is a series of videos on ","['Science & Technology']","['technology', 'machine learning', 'data science', 'AI', 'artificial intelligence', 'python', 'pandas', 'data clearning', '2020', 'course', 'tutorial', 'beginner', 'interview', 'ml', 'fresher', 'data scientist', 'data analyst', 'analyst']","2020-09-01",77,"http://www.youtube.com/channel/UCSz5IBDVS2zlPcZofdZfELg","https://i.ytimg.com/vi_webp/kHL2C677rgs/maxresdefault.webp",854,480,,30,0.504
280,"watch?v=osaHFUWSHSA","https://www.youtube.com/watch?v=osaHFUWSHSA","Data science tutorial for beginners using python in Tamil - PCA- Ep#14",0,"data+science",92,6,,5,577,"Introduction to Python for ","['Education']",,"2020-08-31",78,"http://www.youtube.com/channel/UC9Wq1_eFlTE9XBdvxb3lVFg","https://i.ytimg.com/vi/osaHFUWSHSA/maxresdefault.jpg",1280,720,,30,0.469
287,"watch?v=q6Lf2yhvluw","https://www.youtube.com/watch?v=q6Lf2yhvluw","Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?)",0,"data+science",6,270,,5,102000,"In this video, I review Alexander's ","['People & Blogs']","['Data Science', 'Ken Jee', 'Machine Learning', 'data scientist', 'data science journey', 'reviewing your data science project', 'data science project review', 'machine learning project', 'data science project critique', 'github', 'github review', 'data science portfolio', 'data science portfolio review', 'data science project portfolio', 'data science review', 'data science project', 'git hub project', 'git hub project review', 'data science github', 'linkedin review', 'linkedin data science']","2020-08-24",85,"http://www.youtube.com/channel/UCiT9RITQ9PW6BhXK0y2jaeg","https://i.ytimg.com/vi_webp/q6Lf2yhvluw/maxresdefault.webp",3840,2160,,30,0.474
321,"watch?v=grIO871hAOk","https://www.youtube.com/watch?v=grIO871hAOk","Data Science Job Market Now|How to get Data Science Job|Data Science Jobs",0,"data+science",3,144,4,4.891892,6230,"Data Science","['Education']","['Data Science Job Market Now', 'How to get Data Science Job', 'Data Science Jobs', 'How to apply for data science jobs', 'Data Science market job market now?', 'Data Science job openings now?', 'Data science internship opportunities', 'Data science job trends', 'data science jobs', 'data science jobs in usa', 'data science', 'data science interview questions', 'data science for beginners', 'jobs in data science', 'jobs in data science for freshers', 'jobs after data science', 'unfold data science']","2020-07-26",114,"http://www.youtube.com/channel/UCh8IuVJvRdporrHi-I9H7Vw","https://i.ytimg.com/vi_webp/grIO871hAOk/maxresdefault.webp",1920,1080,,50,0.518
333,"watch?v=eNt-IvCi7a0","https://www.youtube.com/watch?v=eNt-IvCi7a0","Acing the Python Data Science Interview Questions",0,"data+science",5,184,5,4.8941798,5420,"We cover the different types of Python DS questions asked in interviews, the difference between Python interview questions and software engineering questions, and strategies on how to approach them. Quick Links: 1:21 - Difference between software and ","['Science & Technology']","['python data science', 'data science', 'python data science interviews', 'python data scientist', 'data science python', 'data science interview questions', 'data science interview questions and answers', 'interview query', 'data science jay', 'data science python interview', 'python interview questions', 'python data science interview', 'python data science interview questions and answers', 'python data science interview questions', 'data scientist vs software engineer', 'software engineer python']","2020-07-12",128,"http://www.youtube.com/channel/UCcQx1UnmorvmSEZef4X7-6g","https://i.ytimg.com/vi/eNt-IvCi7a0/maxresdefault.jpg",1280,720,,30,0.482
344,"watch?v=yQvUU2YPPy4","https://www.youtube.com/watch?v=yQvUU2YPPy4","How to get experience as a beginner data scientist",0,"data+science",49,1815,17,4.962882,67600,"Manuela emailed the other day asking ""how can a beginner ","['Science & Technology']",,"2020-07-04",136,"http://www.youtube.com/channel/UCr8O8l5cCX85Oem1d18EezQ","https://i.ytimg.com/vi_webp/yQvUU2YPPy4/maxresdefault.webp",1920,1080,,50,0.513
361,"watch?v=4Cp6PkBKqX4","https://www.youtube.com/watch?v=4Cp6PkBKqX4","Data Science Life Cycle | Life Cycle Of A Data Science Project | Data Science Tutorial | Simplilearn",0,"data+science",3,109,2,4.9636364,733000,"This video of the ","['Education']","['data science life cycle', 'data science life cycle phases', 'data science project life cycle', 'complete life cycle of a data science project', 'data science project', 'data science project step by step', 'data science project tutorial', 'data science project management', 'data science', 'data science tutorial', 'data science for beginners', 'data science project from scratch', 'learn data science', 'data science training', 'simplilearn data science', 'simplilearn']","2020-06-22",148,"http://www.youtube.com/channel/UCsvqVGtbbyHaMoevxPAq9Fg","https://i.ytimg.com/vi_webp/4Cp6PkBKqX4/maxresdefault.webp",1920,1080,,30,0.537
369,"watch?v=zWGpe4z6_IQ","https://www.youtube.com/watch?v=zWGpe4z6_IQ","Data Science simplified with example - What happens when you go to a shopping mall.",0,"data+science",3,92,2,4.9148936,410,"DataScience","['Education']","['Data Science', 'Big Data', 'Data Science with simple examples', 'Data Anaysis', 'Data Application', 'Data Collection', 'Business Intelligence', 'people counting devices', 'sensor data', 'Door Counting devices']","2020-06-13",157,"http://www.youtube.com/channel/UCaaIa-E6XGfRddjS45EsjHg","https://i.ytimg.com/vi/zWGpe4z6_IQ/maxresdefault.jpg",3840,2160,,24,0.537
372,"watch?v=sA3EY5Hq6-E","https://www.youtube.com/watch?v=sA3EY5Hq6-E","Graph Data Science with Neo4j Graph Algorithms - Will Lyon",1,"data+science",1,47,,5,24400,"Graph algorithms provide one of the most potent approaches to analysing connected ","['Science & Technology']","['neo4j', 'graph databases', 'graphs', 'nosql']","2020-06-12",158,"http://www.youtube.com/channel/UCvze3hU6OZBkB1vkhH2lH9Q","https://i.ytimg.com/vi_webp/sA3EY5Hq6-E/maxresdefault.webp",1920,1080,,30,0.467
407,"watch?v=lhzuyYf_Ot8","https://www.youtube.com/watch?v=lhzuyYf_Ot8","Free Data Science & Machine Learning Course | Free Certification | ABCS",0,"data+science",1,44,,5,2600,"This video is about a free ","['Education']","['free data science course online', 'free data science course with certificate', 'free data science course', 'free machine learning course', 'free machine learning certification', 'data science course', 'data science certification', 'data science free courses online', 'data science free course', 'machine learning course', 'data science free certificate', 'free certificate course', 'free certificate courses online 2020', 'free certificate', 'data science', 'machine learning', 'data science tutorial']","2020-05-03",198,"http://www.youtube.com/channel/UCFbM5097nwXbBYU0yGiQ8zA","https://i.ytimg.com/vi/lhzuyYf_Ot8/maxresdefault.jpg",1280,720,,30,0.463
410,"watch?v=yFmkK94rnc0","https://www.youtube.com/watch?v=yFmkK94rnc0","Data Science Vs Data Analytics | Which One Should You Choose | Great Learning",0,"data+science",20,324,9,4.891892,275000,"Get your free certificate of completion for the ","['Education']","['Great Learning', 'Data Analytics', 'Data Science', 'Big Data', 'Machine learning', 'Artificial Intelligence', 'data scientist vs data analyst', 'compare data scientist with data analyst', 'difference between data scientist and data analyst', 'who is a data scientist', 'who is a data analyst', 'data scientist salary', 'data analyst salary', 'data science training', 'data science roles', 'business analyst', 'great learning training', 'great lakes']","2020-04-29",202,"http://www.youtube.com/channel/UCObs0kLIrDjX2LLSybqNaEA","https://i.ytimg.com/vi_webp/yFmkK94rnc0/maxresdefault.webp",1920,1080,,25,0.489
417,"watch?v=zwasdVPPFFw","https://www.youtube.com/watch?v=zwasdVPPFFw","Data Analytics For Beginners | Introduction To Data Analytics | Data Analytics Using R | Simplilearn",0,"data+science",24,510,8,4.9382238,733000,"This video on ","['Education']","['data analytics for beginners', 'data analytics', 'data analytics for beginners tutorial', 'introduction to data analytics', 'data analytics using r', 'data analytics with r', 'data analytics introduction', 'data analytics explained', 'data analytics example', 'data analytics tutorial', 'data analytics tutorial for beginners', 'data analytics projects using r', 'what is data analytics', 'what is data analytics for beginners', 'learn data analytics', 'simplilearn data analytics', 'simplilearn']","2020-04-24",207,"http://www.youtube.com/channel/UCsvqVGtbbyHaMoevxPAq9Fg","https://i.ytimg.com/vi_webp/zwasdVPPFFw/maxresdefault.webp",1920,1080,,25,0.457
425,"watch?v=V5_waf_9_rU","https://www.youtube.com/watch?v=V5_waf_9_rU","Python Data Science Project Ideas! (for all skill levels)",0,"data+science",29,1361,7,4.9795322,84100,"In this video, we walk through eight project ideas to help you build up your ","['Education']","['Keith Galli', 'data science', 'data science python', 'data science for beginners', 'data science projects', 'python', 'python3', 'python programming', 'ai', 'ml', 'machine learning', 'artificial intelligence', 'python project ideas', 'data visualization', 'machine learning python', 'data science tutorial', 'data scientist', 'how to become data scientist', 'data analysis', 'data analysis project', 'pandas python', 'coding projects', 'python analysis', 'matplotlib', 'sklearn', 'scikit learn', 'kaggle', 'kaggle tutorial']","2020-04-06",225,"http://www.youtube.com/channel/UCq6XkhO5SZ66N04IcPbqNcw","https://i.ytimg.com/vi/V5_waf_9_rU/maxresdefault.jpg",1920,1080,,30,0.485
429,"watch?v=MpF9HENQjDo","https://www.youtube.com/watch?v=MpF9HENQjDo","Data Science Project from Scratch - Part 1 (Project Planning)",0,"data+science",40,1529,14,4.963707,102000,"This is part 1 of my new series, ","['People & Blogs']","['Data Science', 'Ken Jee', 'Machine Learning', 'data scientist', 'data science journey', 'data science project', 'data science project from scratch', 'data science project planning', 'machine learning project', 'kaggle project', 'data science project python', 'machine learning project python', 'python web scraping', 'selenium', 'data scientist salary', 'data science model building', 'data science for beginners', 'data science project for beginners', 'data science project tutorial', 'data science project walkthrough']","2020-04-03",228,"http://www.youtube.com/channel/UCiT9RITQ9PW6BhXK0y2jaeg","https://i.ytimg.com/vi_webp/MpF9HENQjDo/maxresdefault.webp",3840,2160,,30,0.463
448,"watch?v=VQq8DwEJeoU","https://www.youtube.com/watch?v=VQq8DwEJeoU","Will Data Science Die in 5 Years??",0,"data+science",5,266,11,4.8411551,4580,"Subscribe to RichardOnData here: https://www.youtube.com/channel/UCKPyg5gsnt6h0aA8EBw3i6A?sub_confirmation=1 In this ...","['Science & Technology']","['will data science die', 'will data science end', 'will data science be automated', 'data scientist', 'data science in 2020', 'artificial intelligence', 'machine learning', 'automl', 'azure machine learning studio', 'data analytics', 'data science vs software engineering', 'data science jobs in 2020', 'data driven culture', 'data driven organization']","2020-04-10",221,"http://www.youtube.com/channel/UCKPyg5gsnt6h0aA8EBw3i6A","https://i.ytimg.com/vi/VQq8DwEJeoU/maxresdefault.jpg",1920,1080,,30,0.487
480,"watch?v=3XD5nU6qwPM","https://www.youtube.com/watch?v=3XD5nU6qwPM","Best Free Books For Learning Data Science in 2020",0,"data+science",25,1027,17,4.934866,265000,"lease join as a member in my channel to get additional benefits like materials in ","['Education']","['upgrad', 'appliedaicourse', 'machine learning', 'deep learning', 'data science']","2020-01-03",319,"http://www.youtube.com/channel/UCNU_lfiiWBdtULKOw6X0Dig","https://i.ytimg.com/vi/3XD5nU6qwPM/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDRzTgQLlmDnTK-D1aNi4yMkCnuTQ",960,720,,25,0.53
489,"watch?v=1ivfEYGNZKg","https://www.youtube.com/watch?v=1ivfEYGNZKg","Data Science In Cyber Security In 2020",0,"data+science",6,260,8,4.8805971,265000,"Please join as a member in my channel to get additional benefits like materials in ","['Education']","['upgrad', 'deep learning', 'simplilearn', 'appliedaicourse', 'data science', 'cybersecurity']","2019-12-17",336,"http://www.youtube.com/channel/UCNU_lfiiWBdtULKOw6X0Dig","https://i.ytimg.com/vi/1ivfEYGNZKg/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDv8kuAI-4skOabch-V9K3_gNDlqA",1920,1080,,30,0.51
509,"watch?v=S2czDHNFDr4","https://www.youtube.com/watch?v=S2czDHNFDr4","Real Talk with Levi's Director of Data Science",0,"data+science",29,269,6,4.9127274,48200,"We sat down with Levi's Director of ","['Education']","['springboard', 'office hours', 'mentors', 'education', 'online education']","2019-11-05",378,"http://www.youtube.com/channel/UCqd6TofKNjqagInm5Waeu7w","https://i.ytimg.com/vi_webp/S2czDHNFDr4/maxresdefault.webp?v=5dc20fec",1920,1080,,30,0.499
511,"watch?v=qwGnrjkQq98","https://www.youtube.com/watch?v=qwGnrjkQq98","Data Scientist Salary | How to get a Data Scientist job",0,"data+science",281,5727,208,4.8598146,41600,"This video briefs you about ","['Education']","['Data Scientist', 'Data Science', 'Data Scientist Salary', 'what is a data scientist', 'what is data science', 'data scientist salary in India', 'data science jobs', 'data scientist jobs', 'data scientist jobs in canada', 'data scientits jobs india salary', 'India', 'Springboard', 'Python language', 'Walmart', 'Walmart Labs', 'data scientist course', 'data scientist interview questions', 'data scientist beginner', 'Online Learning', 'data scientist bootcamp', 'data science python']","2019-11-04",379,"http://www.youtube.com/channel/UCg5UINpJgS4uqWZkv2Qh1Mw","https://i.ytimg.com/vi_webp/qwGnrjkQq98/maxresdefault.webp",1920,1080,,24,0.453
519,"watch?v=4mVcZWm3pd0","https://www.youtube.com/watch?v=4mVcZWm3pd0","Data Scientist Job Description explained by Brillio Data Scientist",0,"data+science",26,884,12,4.9464288,41600,"In this video Indira Krishnamoorthi, Senior ","['Education']","['Data Scientist', 'Data Scientist Job Description', 'data scientist salary', 'Data Scientist Jobs', 'Data Scientist resume', 'Data Scientist Qualifications', 'Data', 'Online Learning', 'E Learning', 'Brillio', 'Artificial Intelligence', 'Machine Learning', 'Data Science Tools', 'Python', 'Programming', 'R Language', 'data science tutorial', 'What is Data Science', 'India', 'Data Science Bootcamp', 'Insights Data Science']","2019-10-10",404,"http://www.youtube.com/channel/UCg5UINpJgS4uqWZkv2Qh1Mw","https://i.ytimg.com/vi_webp/4mVcZWm3pd0/maxresdefault.webp",1920,1080,,24,0.493
526,"watch?v=c26n615X8GE","https://www.youtube.com/watch?v=c26n615X8GE","Getting your first job in Data Science By Imaad Mohamed Khan at Cypher 2019",0,"data+science",10,399,6,4.9407406,31800,"Getting your first job in ","['Science & Technology']","['Getting your first job in Data Science', 'first job in data science', 'job in data science', 'how to get job in data science', 'data scientist job']","2019-09-23",421,"http://www.youtube.com/channel/UCAlwrsgeJavG1vw9qSFOUmA","https://i.ytimg.com/vi_webp/c26n615X8GE/maxresdefault.webp",1920,1080,,25,0.549
535,"watch?v=C6eKuZ2PVDE","https://www.youtube.com/watch?v=C6eKuZ2PVDE","Como Aprender Data Science com Python",0,"data+science",7,500,4,4.9682541,5310,"Veja algumas dicas para quem quer começar uma carreira como Cientista de Dados, e aprender ","['Howto & Style']","['data science', 'python', 'cientista de dados', 'machine learning']","2019-09-07",437,"http://www.youtube.com/channel/UCxaCu5ht7d3jvisTpiW6vxw","https://i.ytimg.com/vi_webp/C6eKuZ2PVDE/maxresdefault.webp",1280,720,,30,0.461
550,"watch?v=Xi56C3q8mDA","https://www.youtube.com/watch?v=Xi56C3q8mDA","How I found a job in Data Analytics in Ireland Swapn from India",0,"data+science",15,465,6,4.9490447,36200,"Book your university course with DubJobs https://www.dubjobs.com/student-services/ Swapn from India shares his experience ...","['Education']",,"2019-08-23",452,"http://www.youtube.com/channel/UCT8VMsHASd47NEc2KrpbYvg","https://i.ytimg.com/vi_webp/Xi56C3q8mDA/maxresdefault.webp",1920,1080,,25,0.475
